subj_idx,cond,R1,R2,reward,choice,rt,postjudgment,block
1,1,0.1,0.9,1,2,1.852,0,1
1,1,0.1,0.9,1,2,1.629,0.5,1
1,1,0.1,0.9,1,2,1.415,1,1
1,1,0.1,0.9,1,2,1.55,0.5,1
1,1,0.1,0.9,0,2,1.537,1,1
1,1,0.1,0.9,0,1,1.505,0.5,1
1,1,0.1,0.9,1,2,1.198,0.5,1
1,1,0.1,0.9,1,2,1.352,0.5,1
1,1,0.1,0.9,1,2,1.339,0.49,1
1,1,0.1,0.9,1,2,1.302,0.5,1
1,1,0.1,0.9,0,1,1.085,0,1
1,1,0.1,0.9,1,2,1.249,0.5,1
1,1,0.1,0.9,1,2,1.322,0.5,1
1,1,0.1,0.9,1,2,1.394,0.5,1
1,1,0.1,0.9,1,2,1.085,1,1
1,1,0.1,0.9,1,2,1.24,1,1
1,1,0.1,0.9,1,2,1.058,1,1
1,1,0.1,0.9,1,2,1.135,0.99,1
1,1,0.1,0.9,1,2,1.734,1,1
1,1,0.1,0.9,0,2,1.153,1,1
1,1,0.1,0.9,1,2,1.074,0.99,1
1,1,0.1,0.9,1,2,1.253,1,1
1,1,0.1,0.9,1,2,1.444,1,1
1,1,0.1,0.9,1,2,1.283,1,1
1,1,0.1,0.9,0,2,1.454,1,1
1,1,0.8,0.2,1,1,2.418,0.5,2
1,1,0.8,0.2,1,1,1.023,0.5,2
1,1,0.8,0.2,1,1,1.202,0.5,2
1,1,0.8,0.2,1,1,1.125,1,2
1,1,0.8,0.2,1,1,1.098,0.99,2
1,1,0.8,0.2,1,1,1.178,1,2
1,1,0.8,0.2,1,1,1.239,1,2
1,1,0.8,0.2,1,1,0.987,1,2
1,1,0.8,0.2,1,1,1.044,1,2
1,1,0.8,0.2,1,1,1.409,1,2
1,1,0.8,0.2,0,1,1.437,1,2
1,1,0.8,0.2,1,1,1.127,0,2
1,1,0.8,0.2,0,1,1.455,0.07,2
1,1,0.8,0.2,0,1,2.591,0,2
1,1,0.8,0.2,0,2,1.649,0,2
1,1,0.8,0.2,1,1,1.798,0,2
1,1,0.8,0.2,0,2,1.409,0,2
1,1,0.8,0.2,0,1,0.965,0,2
1,1,0.8,0.2,1,1,1.051,0,2
1,1,0.8,0.2,1,1,1.684,0,2
1,1,0.8,0.2,0,2,1.245,0,2
1,1,0.8,0.2,0,1,0.975,0,2
1,1,0.8,0.2,1,1,1.132,0,2
1,1,0.8,0.2,1,1,1.535,0,2
1,1,0.8,0.2,1,1,1.51,0,2
1,1,0.7,0.3,1,2,0.677,0,3
1,1,0.7,0.3,1,2,1.013,0,3
1,1,0.7,0.3,0,2,1.602,0,3
1,1,0.7,0.3,1,2,1.401,0,3
1,1,0.7,0.3,0,2,1.559,0,3
1,1,0.7,0.3,1,1,0.922,0,3
