subj_idx,cond,R1,R2,reward,choice,rt,postjudgment,block
1,1,2,3,2,1,1.45,0,1
1,1,2,3,2,1,0.658,1,1
1,1,4,3,4,1,0.791,1,1
1,1,4,3,4,1,0.547,1,1
1,1,4,3,3,2,0.776,0,1
1,1,4,3,4,1,0.675,1,1
1,1,4,3,4,1,0.489,1,1
1,1,4,3,4,1,0.484,1,1
1,1,4,3,4,1,0.44,1,1
1,1,4,3,4,1,0.62,1,1
1,1,4,3,4,1,0.452,1,1
1,1,4,3,4,1,0.479,1,1
1,1,4,3,3,2,0.765,0,1
1,1,4,3,4,1,0.521,1,1
1,1,4,3,4,1,0.478,0.5,1
1,1,4,3,4,1,0.484,1,1
1,1,4,3,4,1,0.478,1,1
1,1,4,3,4,1,0.544,1,1
1,1,4,3,4,1,0.437,1,1
1,1,4,3,4,1,0.464,1,1
1,1,4,3,4,1,0.425,1,1
1,1,4,3,4,1,0.496,1,1
1,1,4,3,4,1,0.52,1,1
1,1,4,3,4,1,0.395,1,1
1,1,4,3,3,2,1.226,0,1
1,1,4,3,4,1,0.415,1,1
1,1,4,3,4,1,0.457,1,1
1,1,4,3,4,1,0.48,1,1
1,1,4,5,4,1,0.548,1,1
1,1,4,5,4,1,0.626,1,1
1,1,4,5,4,1,0.475,1,1
1,1,4,5,4,1,0.496,1,1
1,1,6,5,6,1,0.474,1,1
1,1,6,5,6,1,0.57,1,1
1,1,6,5,6,1,0.639,1,1
1,1,6,5,5,2,0.493,0,1
1,1,6,5,6,1,0.613,1,1
1,1,6,7,6,1,0.412,1,1
1,1,6,7,6,1,0.501,1,1
1,1,6,7,6,1,0.464,1,1
1,1,6,7,6,1,0.423,1,1
1,1,6,7,6,1,0.42,1,1
1,1,6,7,6,1,0.412,1,1
1,1,6,7,6,1,0.508,1,1
1,1,6,7,6,1,3.363,1,1
1,1,6,7,6,1,0.906,1,1
1,1,8,7,8,1,0.547,1,1
1,1,8,7,8,1,0.457,1,1
1,1,8,7,7,2,0.734,0,1
1,1,8,7,8,1,0.458,1,1
1,1,8,7,8,1,0.423,1,1
1,1,8,7,8,1,0.452,1,1
1,1,8,7,8,1,0.509,1,1
1,1,8,7,8,1,0.512,1,1
1,1,8,7,8,1,0.497,1,1
1,1,8,9,8,1,0.516,1,1
1,1,8,9,8,1,0.468,1,1
1,1,8,9,8,1,0.786,1,1
1,1,10,9,10,1,1.553,1,1
1,1,10,9,10,1,0.948,1,1
1,1,10,9,9,2,0.495,0,1
1,1,10,9,10,1,0.407,1,1
1,1,10,9,10,1,0.483,1,1
1,1,10,9,10,1,0.489,1,1
1,1,10,9,10,1,0.455,1,1
1,1,10,9,10,1,0.507,1,1
1,1,10,9,10,1,0.486,1,1
1,1,10,9,10,1,0.48,1,1
1,1,10,9,10,1,0.925,1,1
1,1,10,9,10,1,0.429,1,1
1,1,10,9,10,1,0.413,1,1
1,1,10,9,10,1,0.404,1,1
1,1,10,9,10,1,1.085,1,1
1,1,10,9,10,1,0.436,1,1
1,1,10,9,10,1,0.399,1,1
1,1,10,9,10,1,0.441,1,1
1,1,10,9,10,1,0.375,1,1
1,1,10,9,10,1,0.374,1,1
1,1,10,11,10,1,0.396,1,1
1,1,12,11,12,1,0.373,1,1
1,1,12,11,12,1,0.386,1,1
1,1,12,11,12,1,0.493,1,1
1,1,12,11,12,1,0.422,1,1
1,1,12,11,12,1,0.533,1,1
1,1,12,11,12,1,0.393,1,1
1,1,12,11,12,1,0.682,1,1
1,1,12,11,12,1,0.689,1,1
1,1,12,11,12,1,1.02,1,1
1,1,12,11,12,1,0.368,1,1
1,1,12,11,12,1,0.387,1,1
1,1,12,11,12,1,0.992,1,1
1,1,12,13,12,1,0.402,1,1
1,1,14,13,14,1,0.365,1,1
1,1,14,13,14,1,0.407,1,1
1,1,14,13,14,1,0.389,1,1
1,1,14,13,14,1,0.353,1,1
1,1,14,13,14,1,0.309,1,1
1,1,14,13,14,1,0.39,1,1
1,1,14,15,14,1,0.378,1,1
1,1,14,15,14,1,0.41,1,1
1,1,14,15,14,1,0.355,1,1
2,1,2,3,3,2,1.324,0.5,1
2,1,2,3,3,2,0.738,0.5,1
2,1,2,3,3,2,0.564,0.5,1
2,1,2,3,3,2,0.723,0.5,1
2,1,2,3,2,1,0.984,0.5,1
2,1,2,3,3,2,0.693,0.77,1
2,1,2,3,3,2,0.984,0.5,1
2,1,2,3,3,2,0.416,0.73,1
2,1,2,3,3,2,0.613,0.99,1
